編號,答案,類近題目
1811,"📌 參考答案
D. 氧化磷酸化
D. Oxidative phosphorylation
📌 詳細解釋
糖酵解發生在細胞質內，並不位於線粒體。
Glycolysis takes place in the cytoplasm and is not located in the mitochondrion.
丙酮酸鹽轉化為乙酰輔酶A的過程發生在線粒體基質中。
The conversion of pyruvate to acetyl-CoA occurs in the mitochondrial matrix.
克雷伯氏循環同樣在線粒體基質中進行。
The Krebs cycle also takes place in the mitochondrial matrix.
氧化磷酸化涉及電子傳遞鏈，而這些酶和載體皆嵌於線粒體內膜上。
Oxidative phosphorylation involves the electron transport chain, and these enzymes and carriers are embedded in the inner mitochondrial membrane.
📌 考試提醒
必須熟記細胞呼吸作用三個主要階段的發生位置：細胞質、線粒體基質及線粒體內膜。
You must memorize the locations of the three main stages of cellular respiration: cytoplasm, mitochondrial matrix, and inner mitochondrial membrane.
常見錯誤：混淆了克雷伯氏循環與氧化磷酸化的發生位置。
Common trap：Confusing the locations where the Krebs cycle and oxidative phosphorylation occur.",
1812,"📌 參考答案
A. 只有(1)和(2)

📌 詳細解釋
兩隻純種貓（純合）交配後，第一子代全表現為長毛，證明長毛對短毛屬顯性。
Since the mating of two purebred (homozygous) cats results in a first generation all expressing long hair, it proves long hair is dominant over short hair.
因為父母雙方都是純種，產生的四隻小貓必定全為雙雜合，即基因型相同。
Because both parents are purebred, the four kittens produced must all be double heterozygous, meaning their genotypes are identical.
即使控制兩個特徵的基因位於同一對同源染色體上，結果亦會一樣。
Even if the genes controlling the two traits are located on the same pair of homologous chromosomes, the result would be the same.
因此單憑這個結果，無法斷定這兩個基因是否位於不同的染色體上。
Therefore, based solely on this result, it cannot be concluded whether these two genes are located on different chromosomes.

📌 考試提醒
第一子代全數表現出的親代性狀即為顯性性狀；而判斷基因是否獨立分配則需參考第二子代的表現型比例。
The parental trait fully expressed in the first filial generation is the dominant trait; determining whether genes assort independently requires referring to the phenotypic ratio of the second filial generation.
常見錯誤：學生常假設所有提及兩個特徵的題目都必定涉及位於不同染色體上的基因。
Common trap：Students often assume that all questions mentioning two traits must involve genes located on different chromosomes.",
1813,"📌 參考答案
C. 只有(2)和(3)
C. (2) and (3) only
📌 詳細解釋
突變是偶然發生的，要在同一子代中同時發生導致短毛和白毛兩種突變的機率極微。
Mutation occurs randomly, and the probability of two specific mutations causing both short and white hair occurring simultaneously in the same offspring is extremely low.
第二子代中小貓互相交配，配子的隨機受精令隱性等位基因有機會以純合形式結合，從而表現出隱性性狀。
During the mating of the second filial generation kittens, random fertilization of gametes allows recessive alleles to pair up in a homozygous state, expressing the recessive trait.
控制兩項特徵的基因透過染色體的獨立分配，產生了有別於親代的全新等位基因組合。
Through the independent assortment of chromosomes, the genes controlling the two traits produce new combinations of alleles different from the parents.
📌 考試提醒
出現新表現型通常是因為減數分裂時的獨立分配及配子隨機受精，而非突變。
The appearance of a new phenotype is usually due to independent assortment during meiosis and random fertilization, rather than mutation.
常見錯誤：學生常誤以為任何新特徵的出現都必定是由基因突變所直接導致。
Common trap: Students often mistakenly assume that the appearance of any new trait must be directly caused by gene mutation.",
1814,"📌 參考答案
A. 寄生物
A. Parasite
📌 詳細解釋
真菌孢子在蛾的幼蟲體內萌發並居住，以幼蟲的組織作為食物來源，這符合寄生物的定義。
The fungal spores germinate and live inside the moth larva, using its tissues as a food source, which fits the definition of a parasite.
這過程會對宿主造成傷害並最終將其殺死，但並非像捕食者般立即殺死獵物。
This process causes harm to the host and eventually kills it, but unlike a predator, it does not kill the prey immediately.
真菌依靠分解現成的有機物維生，無法進行光合作用，故不是生產者。
Fungi rely on decomposing ready-made organic matter for a living and cannot perform photosynthesis, so they are not producers.
雖然寄生物屬於廣義的消費者，但「寄生物」是最精確描述其生態角色的詞彙。
Although parasites are consumers in a broad sense, ""parasite"" is the most precise term to describe its ecological role.
📌 考試提醒
寄生物會從宿主身上獲取營養並對其造成傷害，通常不會立即導致宿主死亡。
A parasite obtains nutrients from a host and causes harm to it, usually without causing immediate death to the host.
常見錯誤：未能區分寄生物與捕食者的獵食模式，或誤以為真菌屬於生產者。
Common trap: Failing to distinguish between the feeding patterns of parasites and predators, or mistakenly believing fungi are producers.",
1815,"📌 參考答案
D. 只有Q、R和S
D. Q, R and S only
📌 詳細解釋
P是葉片，主要負責進行光合作用合成碳水化合物，與植物繁殖無直接關係。
P is a leaf, mainly responsible for photosynthesis to synthesize carbohydrates, and is not directly related to plant reproduction.
Q是塊莖，屬於地下儲藏器官，植物可透過它進行營養繁殖。
Q is a tuber, an underground storage organ through which the plant can undergo vegetative propagation.
R是果實，內含由有性繁殖產生的種子，種子萌發後能長成新植物。
R is a fruit containing seeds produced by sexual reproduction, which can germinate and grow into new plants.
S是花，包含植物的雄性和雌性生殖器官，負責產生配子及吸引傳粉者。
S is a flower containing the male and female reproductive organs of the plant, responsible for producing gametes and attracting pollinators.
📌 考試提醒
植物可同時具備有性繁殖（花、果實、種子）及無性繁殖（如塊莖等營養器官）的構造。
Plants can possess structures for both sexual reproduction (flowers, fruits, seeds) and asexual reproduction (vegetative organs like tubers) simultaneously.
常見錯誤：只記得花和果實是繁殖器官，而忽略了塊莖作為營養繁殖器官的功能。
Common trap: Only remembering that flowers and fruits are reproductive organs while neglecting the function of tubers as vegetative propagation organs.",
1816,"📌 參考答案
D. R和S
D. R and S
📌 詳細解釋
P和Q是由原本植株的細胞經有絲細胞分裂生長而成，因此兩者的基因型完全相同。
P and Q grow from the cells of the original plant through mitotic cell division, so their genotypes are completely identical.
R內的種子是由雄性及雌性配子隨機受精產生，因此具有不同的基因結構。
The seeds in R are produced by the random fertilization of male and female gametes, thus possessing different genetic structures.
S內的花粉粒和胚珠是透過減數細胞分裂產生的配子，具有基因變異。
The pollen grains and ovules in S are gametes produced through meiotic cell division, which exhibit genetic variation.
因此，只有標示為R和S的構造含有基因型不相同的細胞。
Therefore, only the structures labeled R and S contain cells with different genotypes.
📌 考試提醒
減數細胞分裂及受精作用會引入基因變異，而有絲細胞分裂只會產生基因型相同的細胞。
Meiotic cell division and fertilization introduce genetic variation, whereas mitotic cell division only produces cells with identical genotypes.
常見錯誤：未能聯想到果實內的種子和花朵內的配子是經過減數分裂和受精作用而形成的。
Common trap: Failing to associate that the seeds in fruits and gametes in flowers are formed through meiosis and fertilization.",
1817,"📌 參考答案
C. 的繁殖時間較短。
C. has a shorter reproduction time.
📌 詳細解釋
營養繁殖是一種無性繁殖方式，過程不涉及尋找配偶、傳粉及受精。
Vegetative propagation is an asexual reproduction method that does not involve finding a mate, pollination, and fertilization.
由於不需要依賴外在媒介（如昆蟲傳粉），其繁殖新植株所需的時間大幅縮短。
Since it does not rely on external agents (such as insect pollination), the time required to propagate new plants is significantly shortened.
這使得農夫能夠更快速、頻繁地收割農作物，從而獲得更大的經濟效益。
This allows farmers to harvest crops more quickly and frequently, thereby achieving greater economic benefits.
雖然種子散播能佔據更廣泛的範圍，但營養繁殖產生的後代生長位置通常較靠近親代。
Although seed dispersal can colonize a wider area, offspring produced by vegetative propagation usually grow closer to the parent plant.
📌 考試提醒
農業上廣泛使用營養繁殖的主要原因是其繁殖速度快，且能保留親代的優良性狀。
The main reason vegetative propagation is widely used in agriculture is its fast reproduction speed and ability to retain desirable parental traits.
常見錯誤：誤將「不涉及種子散播」視為農夫選擇此方法的「好處」，而非客觀事實。
Common trap: Mistakenly considering ""does not involve seed dispersal"" as the ""benefit"" for farmers choosing this method, rather than an objective fact.",
1818,"📌 參考答案
C. 這做法提供足夠時間讓澱粉質消化變為葡萄糖。
C. This practice provides sufficient time for the digestion of starch into glucose.
📌 詳細解釋
咀嚼食物時的物理動作會刺激副交感神經，從而促進唾液的分泌。
The physical action of chewing food stimulates parasympathetic nerves, thereby promoting the secretion of saliva.
唾液將食物濕潤並混合成食團，使其更容易沿食道吞下。
Saliva moistens the food and mixes it into a bolus, making it easier to swallow down the esophagus.
咀嚼能把大塊食物分解成小碎塊，增加表面積以便消化酶進行化學消化。
Chewing breaks large pieces of food into smaller fragments, increasing the surface area for chemical digestion by digestive enzymes.
然而，唾液澱粉酶只能將澱粉分解成麥芽糖，口腔內缺乏相應的酶將麥芽糖進一步消化為葡萄糖。
However, salivary amylase can only break down starch into maltose, and the mouth lacks the corresponding enzymes to further digest maltose into glucose.
📌 考試提醒
唾液澱粉酶的作用產物是麥芽糖；麥芽糖酶則存在於小腸，負責將其分解為葡萄糖。
The product of salivary amylase is maltose; maltase is present in the small intestine and is responsible for breaking it down into glucose.
常見錯誤：學生常錯誤以為口腔內的化學消化能直接將澱粉完全分解成單糖（葡萄糖）。
Common trap: Students often mistakenly believe that chemical digestion in the mouth can completely break down starch into monosaccharides (glucose).",
1819,"📌 參考答案
B. 伸肌，因為它的反應令肢體伸展。
B. Extensor, because its response causes the limb to extend.
📌 詳細解釋
膝躍反射的刺激是輕輕敲打髕骨下方的肌腱，這會使大腿前方的伸肌（股四頭肌）突然被拉長。
The stimulus of the knee-jerk reflex is tapping the tendon below the patella, which causes the extensor muscle (quadriceps) at the front of the thigh to be suddenly stretched.
這牽張刺激引發反射弧，神經脈衝傳至脊髓後直接傳回該伸肌。
This stretch stimulus triggers a reflex arc, and the nerve impulse travels to the spinal cord and directly back to the extensor muscle.
伸肌接收到脈衝後會收縮（縮短），產生的反應是將小腿向前踢出，即令肢體伸展。
Upon receiving the impulse, the extensor muscle contracts (shortens), producing a response that kicks the lower leg forward, extending the limb.
這個反射的效應器是伸展關節的肌肉，故稱為伸肌。
The effector of this reflex is the muscle that extends the joint, hence it is called an extensor.
📌 考試提醒
骨骼肌收縮時會縮短並產生拉力；能使關節伸直的肌肉稱為伸肌，使關節彎曲的稱為屈肌。
When skeletal muscles contract, they shorten and generate a pulling force; muscles that straighten a joint are called extensors, and those that bend it are flexors.
常見錯誤：混淆了肌肉收縮方向與肢體運動方向的因果關係，誤以為腿踢出是因為伸肌「伸長」。
Common trap: Confusing the causal relationship between muscle contraction direction and limb movement direction, mistakenly thinking the leg kicks because the extensor ""lengthens"".",
1820,"📌 參考答案
D. X：(3) / Y：(2)
D. X: (3) / Y: (2)
📌 詳細解釋
圖II中(1)是中間神經元，但膝躍反射屬單突觸反射，不涉及中間神經元。
In Figure II, (1) is an interneuron, but the knee-jerk reflex is a monosynaptic reflex and does not involve interneurons.
(2)是感覺神經元，其細胞體位於神經纖維旁並聚集在背根節中，對應圖I中接收牽張刺激的傳入路徑 Y。
(2) is a sensory neuron with its cell body located alongside the nerve fiber and clustered in the dorsal root ganglion, corresponding to the afferent pathway Y in Figure I that receives the stretch stimulus.
(3)是運動神經元，其較大的細胞體位於脊髓灰質前角，擁有一條長軸突，對應圖I中將訊號傳至效應器（肌肉）的傳出路徑 X。
(3) is a motor neuron with a relatively large cell body located in the ventral horn of the spinal cord's gray matter and a long axon, corresponding to the efferent pathway X in Figure I that transmits signals to the effector (muscle).
📌 考試提醒
感覺神經元的細胞體位於背根節；運動神經元的細胞體位於中樞神經系統（如脊髓灰質）內。
The cell bodies of sensory neurons are located in the dorsal root ganglia; the cell bodies of motor neurons are located within the central nervous system (e.g., the gray matter of the spinal cord).
常見錯誤：無法透過細胞體的位置特徵（如背根節的突起）正確辨認感覺神經元。
Common trap: Being unable to correctly identify sensory neurons based on the positional features of their cell bodies (e.g., the protrusion of the dorsal root ganglion).",
1821,"📌 參考答案
C. 大腦皮層
C. Cerebral cortex
📌 詳細解釋
膝躍反射本身是由脊髓控制的無意識反射動作，不需要大腦參與即可發生。
The knee-jerk reflex itself is an unconscious reflex action controlled by the spinal cord and can occur without the brain's involvement.
然而，人要產生「感覺到被敲打」的有意識知覺，神經脈衝必須傳送到大腦。
However, for a person to produce a conscious perception of ""feeling the tap"", the nerve impulses must be transmitted to the brain.
大腦皮層的感覺區專責接收並詮釋來自全身的感覺訊息。
The sensory areas of the cerebral cortex are specifically responsible for receiving and interpreting sensory information from the entire body.
小腦負責協調隨意肌運動，延髓負責控制不隨意的生命活動，兩者皆不負責產生感覺。
The cerebellum coordinates voluntary muscle movements, and the medulla oblongata controls involuntary vital activities; neither is responsible for generating sensations.
📌 考試提醒
任何有意識的感覺（如痛楚、觸覺、視覺）都必須由大腦皮層進行詮釋才能產生。
Any conscious sensation (such as pain, touch, vision) must be interpreted by the cerebral cortex to be perceived.
常見錯誤：將負責轉發訊息的脊髓或控制無意識反射的延髓誤認為產生感覺的部位。
Common trap: Mistaking the spinal cord, which relays messages, or the medulla, which controls unconscious reflexes, as the sites where sensations are generated.",
1822,"📌 參考答案
A. 大腦內部：白質 / 脊髓內部：灰質
A. Inside of cerebrum: White matter / Inside of spinal cord: Grey matter
📌 詳細解釋
白質主要由具髓鞘的神經纖維（軸突）組成，而灰質主要由神經元的細胞體組成。
White matter is mainly composed of myelinated nerve fibers (axons), while grey matter is mainly composed of the cell bodies of neurons.
在大腦中，細胞體集中在外層（大腦皮層），因此外部是灰質，內部是白質。
In the cerebrum, cell bodies are concentrated in the outer layer (cerebral cortex), so the outside is grey matter and the inside is white matter.
在脊髓中，細胞體集中在中央呈蝴蝶狀的區域，因此內部是灰質，外部是白質。
In the spinal cord, cell bodies are concentrated in the central butterfly-shaped region, so the inside is grey matter and the outside is white matter.
📌 考試提醒
大腦與脊髓的灰白質分佈正好相反：大腦是外灰內白，脊髓是外白內灰。
The distribution of grey and white matter in the cerebrum and spinal cord is exactly opposite: the cerebrum has outer grey and inner white matter, while the spinal cord has outer white and inner grey matter.
常見錯誤：記混了大腦與脊髓的結構特徵，未能聯想到神經元細胞體的分佈位置。
Common trap: Confusing the structural features of the cerebrum and spinal cord, failing to relate them to the distribution of neuron cell bodies.",
1823,"📌 參考答案
B. 2122 / 2122
B. 2122 / 2122
📌 詳細解釋
人類標準的齒式表示方法為：門齒-犬齒-前臼齒-臼齒（單側上下顎）。
The standard representation of human dental formula is: incisors-canines-premolars-molars (for one side of the upper/lower jaw).
仔細觀察X光片，上下顎每一側都具有2顆門齒、1顆犬齒、2顆前臼齒及2顆臼齒。
Carefully observing the X-ray, each side of the upper and lower jaws has 2 incisors, 1 canine, 2 premolars, and 2 molars.
照片中並沒有顯示出第三大臼齒（智慧齒）的存在。
The photograph does not show the presence of the third molars (wisdom teeth).
因此，正確描述該X光片齒系的齒式為 2122 / 2122。
Therefore, the dental formula that correctly describes the dentition in this X-ray is 2122 / 2122.
📌 考試提醒
解讀齒式時必須根據圖片實際提供的牙齒數目作答，切勿盲目背誦成人的完整牙式（32顆）。
When interpreting a dental formula, you must answer based on the actual number of teeth provided in the image, rather than blindly memorizing the full adult dental formula (32 teeth).
常見錯誤：考生可能未有仔細數算X光片上的牙齒數量，錯誤假設所有成人都必定有3顆臼齒（2123）。
Common trap: Candidates may fail to carefully count the number of teeth on the X-ray, mistakenly assuming all adults must have 3 molars (2123).",
1824,"📌 參考答案
B. 小玲的觀點
B. Xiao Ling's view
📌 詳細解釋
植物根部被混凝土完全覆蓋，會阻礙根部與大氣進行氣體交換。
When plant roots are completely covered by concrete, it obstructs gas exchange between the roots and the atmosphere.
這導致根部細胞無法獲得足夠氧氣進行需氧呼吸，從而釋放較少能量（ATP）。
This results in root cells being unable to obtain sufficient oxygen for aerobic respiration, thereby releasing less energy (ATP).
由於植物根部吸收土壤中的礦物質主要依賴主動運輸，過程需要消耗能量，缺氧會導致吸收不良。
Since the absorption of minerals from the soil by plant roots mainly relies on active transport which consumes energy, a lack of oxygen will lead to poor absorption.
木質部負責向上運輸水分，並非氣體交換通道，故小光的說法錯誤。
The xylem is responsible for transporting water upwards and is not a gas exchange channel, so Xiao Guang's claim is incorrect.
📌 考試提醒
礦物質離子主要是透過主動運輸逆著濃度梯度進入根毛細胞，這過程高度依賴呼吸作用提供的能量。
Mineral ions primarily enter root hair cells against a concentration gradient via active transport, a process highly dependent on energy provided by respiration.
常見錯誤：忽略了根部吸收礦物質與需氧呼吸之間的直接關聯。
Common trap: Ignoring the direct connection between the absorption of minerals by roots and aerobic respiration.",
